id,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
55550,2008,1,20,7,1243.0,1235,1640.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55555,2008,1,20,7,1048.0,925,1600.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55557,2008,1,20,7,1949.0,1900,104.0,25,WN,2019,N745SW,195.0,205.0,175.0,39.0,49.0,LAS,BNA,1588,6.0,14.0,0,N,0,39.0,0.0,0.0,0.0,0.0
55569,2008,1,20,7,1411.0,1400,1511.0,1505,WN,1667,N789SW,60.0,65.0,45.0,6.0,11.0,LAS,BUR,223,2.0,13.0,0,N,0,,,,,
55570,2008,1,20,7,1911.0,1905,2014.0,2005,WN,1677,N273WN,63.0,60.0,48.0,9.0,6.0,LAS,BUR,223,2.0,13.0,0,N,0,,,,,
55574,2008,1,20,7,1049.0,1040,1148.0,1140,WN,3580,N795SW,59.0,60.0,45.0,8.0,9.0,LAS,BUR,223,2.0,12.0,0,N,0,,,,,
55575,2008,1,20,7,1733.0,1725,38.0,45,WN,1099,N495WN,245.0,260.0,229.0,-7.0,8.0,LAS,BWI,2106,4.0,12.0,0,N,0,,,,,
55578,2008,1,20,7,1519.0,1300,2211.0,2000,WN,2728,N701GS,232.0,240.0,211.0,131.0,139.0,LAS,CLE,1825,5.0,16.0,0,N,0,131.0,0.0,0.0,0.0,0.0
55585,2008,1,20,7,1517.0,1505,1756.0,1805,WN,2705,N506SW,99.0,120.0,83.0,-9.0,12.0,LAS,DEN,629,6.0,10.0,0,N,0,,,,,
55596,2008,1,20,7,1740.0,1635,41.0,2355,WN,444,N293,241.0,260.0,226.0,46.0,65.0,LAS,IAD,2066,4.0,11.0,0,N,0,44.0,0.0,0.0,0.0,2.0
55599,2008,1,20,7,1642.0,1510,26.0,2255,WN,1406,N432WN,284.0,285.0,259.0,91.0,92.0,LAS,ISP,2283,5.0,20.0,0,N,0,91.0,0.0,0.0,0.0,0.0
55605,2008,1,20,7,1642.0,1635,1756.0,1745,WN,878,N664WN,74.0,70.0,43.0,11.0,7.0,LAS,LAX,236,9.0,22.0,0,N,0,,,,,
55608,2008,1,20,7,1034.0,1025,1136.0,1135,WN,1198,N389SW,62.0,70.0,44.0,1.0,9.0,LAS,LAX,236,6.0,12.0,0,N,0,,,,,
55616,2008,1,20,7,2025.0,2000,53.0,45,WN,88,N728SW,148.0,165.0,130.0,8.0,25.0,LAS,MCI,1140,6.0,12.0,0,N,0,,,,,
55617,2008,1,20,7,1229.0,1215,1728.0,1705,WN,594,N308SA,179.0,170.0,147.0,23.0,14.0,LAS,MCI,1140,4.0,28.0,0,N,0,10.0,0.0,9.0,0.0,4.0
55620,2008,1,20,7,943.0,935,1426.0,1425,WN,1201,N639SW,163.0,170.0,146.0,1.0,8.0,LAS,MCI,1140,4.0,13.0,0,N,0,,,,,
55633,2008,1,20,7,1546.0,1530,2106.0,2100,WN,3920,N213WN,200.0,210.0,181.0,6.0,16.0,LAS,MDW,1521,6.0,13.0,0,N,0,,,,,
55634,2008,1,20,7,1622.0,1615,2400.0,5,WN,61,N453WN,278.0,290.0,256.0,-5.0,7.0,LAS,MHT,2356,3.0,19.0,0,N,0,,,,,
55639,2008,1,20,7,1601.0,1530,1730.0,1705,WN,733,N505SW,89.0,95.0,72.0,25.0,31.0,LAS,OAK,407,7.0,10.0,0,N,0,25.0,0.0,0.0,0.0,0.0
55642,2008,1,20,7,1124.0,1105,1254.0,1235,WN,1359,N660SW,90.0,90.0,74.0,19.0,19.0,LAS,OAK,407,5.0,11.0,0,N,0,0.0,0.0,8.0,0.0,11.0
55648,2008,1,20,7,2212.0,2205,2348.0,2335,WN,2890,N794SW,96.0,90.0,73.0,13.0,7.0,LAS,OAK,407,6.0,17.0,0,N,0,,,,,
55659,2008,1,20,7,2044.0,2025,2135.0,2115,WN,1449,N436WN,51.0,50.0,35.0,20.0,19.0,LAS,ONT,197,5.0,11.0,0,N,0,0.0,0.0,1.0,5.0,14.0
55664,2008,1,20,7,1543.0,1525,2258.0,2255,WN,446,N209WN,255.0,270.0,238.0,3.0,18.0,LAS,ORF,2155,4.0,13.0,0,N,0,,,,,
55666,2008,1,20,7,2144.0,2130,1.0,2350,WN,507,N321SW,137.0,140.0,119.0,11.0,14.0,LAS,PDX,762,2.0,16.0,0,N,0,,,,,
55671,2008,1,20,7,1828.0,1805,2030.0,2010,WN,367,N338SW,62.0,65.0,45.0,20.0,23.0,LAS,PHX,256,5.0,12.0,0,N,0,0.0,0.0,0.0,0.0,20.0
55678,2008,1,20,7,1240.0,1215,1443.0,1425,WN,1362,N213WN,63.0,70.0,45.0,18.0,25.0,LAS,PHX,256,5.0,13.0,0,N,0,18.0,0.0,0.0,0.0,0.0
55690,2008,1,20,7,1815.0,1740,101.0,45,WN,2726,N217JC,226.0,245.0,206.0,16.0,35.0,LAS,PIT,1910,7.0,13.0,0,N,0,16.0,0.0,0.0,0.0,0.0
55691,2008,1,20,7,1615.0,1545,2350.0,2335,WN,2724,N440LV,275.0,290.0,257.0,15.0,30.0,LAS,PVD,2363,3.0,15.0,0,N,0,7.0,0.0,0.0,0.0,8.0
55693,2008,1,20,7,1131.0,1120,1834.0,1840,WN,1422,N497WN,243.0,260.0,226.0,-6.0,11.0,LAS,RDU,2027,3.0,14.0,0,N,0,,,,,
55698,2008,1,20,7,1506.0,1500,1621.0,1620,WN,875,N604SW,75.0,80.0,58.0,1.0,6.0,LAS,RNO,345,4.0,13.0,0,N,0,,,,,
55702,2008,1,20,7,1448.0,1430,1549.0,1550,WN,2377,N359SW,61.0,80.0,48.0,-1.0,18.0,LAS,RNO,345,3.0,10.0,0,N,0,,,,,
55704,2008,1,20,7,1558.0,1550,1715.0,1715,WN,3334,N606SW,77.0,85.0,58.0,0.0,8.0,LAS,RNO,345,5.0,14.0,0,N,0,,,,,
55713,2008,1,20,7,2310.0,2155,7.0,2255,WN,2034,N342SW,57.0,60.0,43.0,72.0,75.0,LAS,SAN,258,3.0,11.0,0,N,0,0.0,0.0,4.0,0.0,68.0
55714,2008,1,20,7,1957.0,1940,2056.0,2040,WN,2276,N748SW,59.0,60.0,45.0,16.0,17.0,LAS,SAN,258,3.0,11.0,0,N,0,0.0,0.0,0.0,0.0,16.0
55716,2008,1,20,7,2205.0,2100,2304.0,2200,WN,3231,N790SW,59.0,60.0,46.0,64.0,65.0,LAS,SAN,258,3.0,10.0,0,N,0,64.0,0.0,0.0,0.0,0.0
55721,2008,1,20,7,1208.0,1110,1636.0,1545,WN,3654,N755SA,148.0,155.0,125.0,51.0,58.0,LAS,SAT,1069,3.0,20.0,0,N,0,51.0,0.0,0.0,0.0,0.0
55722,2008,1,20,7,2059.0,2030,119.0,100,WN,3841,N483WN,140.0,150.0,124.0,19.0,29.0,LAS,SAT,1069,3.0,13.0,0,N,0,19.0,0.0,0.0,0.0,0.0
55723,2008,1,20,7,1904.0,1810,120.0,45,WN,176,N263WN,196.0,215.0,178.0,35.0,54.0,LAS,SDF,1624,4.0,14.0,0,N,0,35.0,0.0,0.0,0.0,0.0
55726,2008,1,20,7,1146.0,1140,1421.0,1420,WN,1178,N741SA,155.0,160.0,124.0,1.0,6.0,LAS,SEA,866,6.0,25.0,0,N,0,,,,,
55728,2008,1,20,7,1432.0,1410,1605.0,1540,WN,12,N338SW,93.0,90.0,71.0,25.0,22.0,LAS,SFO,414,9.0,13.0,0,N,0,0.0,0.0,3.0,0.0,22.0
55733,2008,1,20,7,1041.0,955,1216.0,1125,WN,2447,N352SW,95.0,90.0,78.0,51.0,46.0,LAS,SFO,414,5.0,12.0,0,N,0,0.0,46.0,5.0,0.0,0.0
55738,2008,1,20,7,1434.0,1410,1552.0,1535,WN,542,N788SA,78.0,85.0,65.0,17.0,24.0,LAS,SJC,386,2.0,11.0,0,N,0,3.0,0.0,0.0,0.0,14.0
55746,2008,1,20,7,2033.0,2025,2237.0,2240,WN,804,N464WN,64.0,75.0,51.0,-3.0,8.0,LAS,SLC,368,3.0,10.0,0,N,0,,,,,
55749,2008,1,20,7,1706.0,1650,1917.0,1915,WN,3234,N436WN,71.0,85.0,51.0,2.0,16.0,LAS,SLC,368,3.0,17.0,0,N,0,,,,,
55754,2008,1,20,7,1210.0,1115,1343.0,1250,WN,1518,N505SW,93.0,95.0,68.0,53.0,55.0,LAS,SMF,397,4.0,21.0,0,N,0,0.0,0.0,0.0,14.0,39.0
55756,2008,1,20,7,2206.0,2140,2338.0,2305,WN,2206,N330SW,92.0,85.0,70.0,33.0,26.0,LAS,SMF,397,7.0,15.0,0,N,0,13.0,0.0,7.0,0.0,13.0
55758,2008,1,20,7,1340.0,1330,1504.0,1500,WN,3777,N304SW,84.0,90.0,71.0,4.0,10.0,LAS,SMF,397,5.0,8.0,0,N,0,,,,,
